TimeStamp,runq-sz,%%memused,proc/s,cswch/s,all_%%usr,ldavg-1,totsck,pgfree/s,plist-sz,file-nr,idel/s,tps
1409585052,91,17.3,0.0,75865.0,97.96,122.77,557,80335.0,1019,2976,24.0,11.0
1409585053,86,17.31,0.0,74651.0,98.29,122.77,556,74681.0,1019,2976,23.0,0.0
1409585054,89,17.32,0.0,78790.0,98.0,122.77,556,78166.0,1019,2976,23.0,0.0
1409585055,88,17.33,0.0,75077.0,97.75,122.77,555,74256.0,1019,2976,21.0,0.0
1409585056,96,17.32,10.0,72717.0,97.79,122.77,553,84232.0,1011,2976,67.0,2.0
1409585057,78,17.32,18.0,67272.0,97.96,119.18,552,76375.0,1010,2976,85.0,6.0
1409585058,84,17.24,3.0,70805.0,98.37,119.18,545,96015.0,992,2976,29.0,17.0
1409585059,77,17.25,0.0,70066.0,98.25,119.18,544,78632.0,992,2976,37.0,52.0
1409585060,81,17.27,4.0,69352.0,97.88,119.18,539,75221.0,983,2928,38.0,0.0
1409585061,89,17.28,0.0,72137.0,98.04,119.18,537,72414.0,983,2928,21.0,0.0
1409585062,80,17.28,19.0,69603.0,97.71,117.01,531,83740.0,965,2880,40.0,2.0
1409585063,80,17.31,0.0,70126.0,98.17,117.01,527,82252.0,956,2880,18.0,21.0
1409585064,75,17.33,0.0,73578.0,98.33,117.01,527,82560.0,956,2880,20.0,0.0
1409585065,84,17.33,0.0,70557.0,98.08,117.01,527,81343.0,956,2880,13.0,0.0
1409585066,77,17.34,0.0,69259.0,98.33,117.01,526,76833.0,956,2880,22.0,0.0
1409585067,78,17.35,0.0,69461.0,98.17,113.64,522,79715.0,947,2880,20.0,0.0
1409585068,80,17.27,0.0,70416.0,98.17,113.64,518,94606.0,938,2880,19.0,64.0
1409585069,86,17.21,0.0,73539.0,98.0,113.64,514,92829.0,929,2832,18.0,0.0
1409585070,78,17.21,0.0,69812.0,97.96,113.64,513,83950.0,929,2832,32.0,0.0
1409585071,73,17.22,10.0,69136.0,97.87,113.64,513,82953.0,929,2832,13.0,2.0
1409585072,87,17.23,18.0,71000.0,98.0,111.19,513,86900.0,929,2832,20.0,6.0
1409585073,65,17.13,12.0,69257.0,97.62,111.19,507,106335.0,920,2832,35.0,4.0
1409585074,71,17.14,0.0,68373.0,98.25,111.19,503,80970.0,920,2832,20.0,19.0
1409585075,80,16.8,4.0,69540.0,98.12,111.19,490,132804.0,885,2832,29.0,0.0
1409585076,75,16.79,0.0,68582.0,98.37,111.19,490,88940.0,884,2832,28.0,0.0
1409585077,69,16.8,10.0,73678.0,98.04,108.05,490,78856.0,884,2832,28.0,2.0
1409585078,68,16.81,0.0,76563.0,98.04,108.05,490,78432.0,884,2832,18.0,74.0
1409585079,79,16.82,0.0,73146.0,97.96,108.05,490,84326.0,884,2832,10.0,19.0
1409585080,69,16.84,3.0,71211.0,97.71,108.05,488,81640.0,878,2832,47.0,0.0
1409585081,70,16.71,6.0,71348.0,97.83,108.05,482,102750.0,866,2832,10.0,0.0
1409585082,74,16.68,8.0,71381.0,98.0,105.56,481,90280.0,865,2832,41.0,0.0
1409585083,64,16.64,1.0,72146.0,98.08,105.56,474,95693.0,857,2832,22.0,0.0
1409585084,67,16.4,0.0,69306.0,97.62,105.56,466,123781.0,830,2832,11.0,6.0
1409585085,67,16.4,0.0,70977.0,97.96,105.56,466,93667.0,830,2832,16.0,0.0
1409585086,66,16.42,18.0,74031.0,97.67,105.56,470,88429.0,838,2784,34.0,2.0
1409585087,64,16.44,9.0,69574.0,98.04,102.56,470,83583.0,842,2784,17.0,4.0
1409585088,62,16.44,10.0,68070.0,98.37,102.56,466,77025.0,839,2784,19.0,56.0
1409585089,61,16.34,3.0,65178.0,97.75,102.56,465,99515.0,830,2736,23.0,0.0
1409585090,66,16.34,0.0,65902.0,98.08,102.56,465,87135.0,830,2736,19.0,13.0
1409585091,64,16.2,4.0,68035.0,97.62,102.56,457,110234.0,812,2736,47.0,0.0
1409585092,58,16.12,0.0,63780.0,97.66,99.47,453,99377.0,803,2736,16.0,0.0
1409585093,65,16.12,10.0,65019.0,97.5,99.47,448,87011.0,803,2688,18.0,2.0
1409585094,59,15.95,8.0,66626.0,97.58,99.47,447,125891.0,793,2640,35.0,0.0
1409585095,64,15.99,1.0,64586.0,97.67,99.47,448,94647.0,794,2640,17.0,0.0
1409585096,66,15.97,0.0,63198.0,97.71,99.47,444,106201.0,785,2640,13.0,17.0
1409585097,57,15.97,0.0,66351.0,97.66,96.55,444,105332.0,785,2640,15.0,0.0
1409585098,65,15.99,0.0,62770.0,97.62,96.55,442,104587.0,785,2640,21.0,0.0
1409585099,60,16.0,0.0,61513.0,97.75,96.55,442,101761.0,785,2640,16.0,52.0
1409585100,57,16.01,0.0,67195.0,97.92,96.55,441,103727.0,785,2640,29.0,0.0
1409585101,63,16.03,3.0,67362.0,97.75,96.55,437,106178.0,776,2640,12.0,0.0
1409585102,58,16.03,28.0,63301.0,97.33,93.7,437,105046.0,776,2640,16.0,26.0
1409585103,55,16.03,3.0,65343.0,97.63,93.7,433,105804.0,767,2688,14.0,0.0
1409585104,58,16.05,0.0,66604.0,97.71,93.7,428,98158.0,758,2688,15.0,0.0
1409585105,52,16.04,4.0,65762.0,97.62,93.7,424,109342.0,758,2688,6.0,0.0
1409585106,57,16.01,9.0,65128.0,97.29,93.7,424,119053.0,758,2688,73.0,0.0
1409585107,54,15.98,28.0,62233.0,97.58,90.84,427,112154.0,758,2736,64.0,19.0
1409585108,57,16.0,0.0,62694.0,97.79,90.84,427,100027.0,758,2736,14.0,4.0
1409585109,55,15.94,0.0,66952.0,97.87,90.84,423,107136.0,749,2736,16.0,0.0
1409585110,57,15.95,0.0,68754.0,97.75,90.84,423,94381.0,749,2736,24.0,52.0
1409585111,48,15.9,0.0,67044.0,97.54,90.84,418,102642.0,740,2736,12.0,0.0
1409585112,52,15.89,9.0,66176.0,97.83,87.49,424,106572.0,747,2736,42.0,19.0
1409585113,57,15.89,9.0,59860.0,97.29,87.49,423,107512.0,749,2736,21.0,38.0
1409585114,58,15.9,0.0,61676.0,97.54,87.49,419,99739.0,749,2736,12.0,0.0
1409585115,55,15.85,0.0,64340.0,97.67,87.49,415,112520.0,731,2736,13.0,0.0
1409585116,59,15.86,0.0,64170.0,97.54,87.49,414,102907.0,731,2736,15.0,0.0
1409585117,49,15.81,28.0,64619.0,97.37,85.37,408,118631.0,722,2784,22.0,8.0
1409585118,53,15.75,3.0,62765.0,97.46,85.37,403,119327.0,713,2784,13.0,14.0
1409585119,44,15.75,1.0,56830.0,97.5,85.37,402,113854.0,714,2784,16.0,0.0
1409585120,45,15.75,4.0,57428.0,97.37,85.37,402,108642.0,709,2784,28.0,0.0
1409585121,49,15.71,0.0,61910.0,97.37,85.37,400,121192.0,705,2784,12.0,0.0
1409585122,40,15.71,10.0,56979.0,97.04,82.78,396,117087.0,696,2736,50.0,58.0
1409585123,37,15.74,9.0,62142.0,97.04,82.78,394,109005.0,696,2736,40.0,21.0
1409585124,48,15.78,9.0,56254.0,97.05,82.78,399,105900.0,705,2736,21.0,0.0
1409585125,48,15.79,0.0,59869.0,97.41,82.78,396,102260.0,705,2736,20.0,0.0
1409585126,46,15.68,0.0,57210.0,97.12,82.78,391,124042.0,696,2736,15.0,0.0
1409585127,40,15.54,9.0,51280.0,96.83,79.19,386,142993.0,678,2736,33.0,0.0
1409585128,41,15.55,0.0,59933.0,96.99,79.19,386,125624.0,678,2736,12.0,6.0
1409585129,41,15.52,0.0,59677.0,96.03,79.19,382,120576.0,669,2736,19.0,0.0
1409585130,38,15.52,0.0,54669.0,96.24,79.19,382,112459.0,669,2736,19.0,0.0
1409585131,35,15.53,0.0,59932.0,96.32,79.19,381,113155.0,669,2736,10.0,0.0
1409585132,40,15.54,28.0,58795.0,96.19,75.97,379,112967.0,669,2688,14.0,8.0
1409585133,43,15.51,12.0,59904.0,96.28,75.97,380,121006.0,669,2688,22.0,0.0
1409585134,38,15.53,0.0,54757.0,96.52,75.97,380,117879.0,669,2688,6.0,65.0
1409585135,36,15.54,4.0,51572.0,96.74,75.97,380,120672.0,669,2688,11.0,0.0
1409585136,32,15.55,0.0,53032.0,96.27,75.97,380,118520.0,669,2688,11.0,0.0
1409585137,36,15.55,10.0,54172.0,96.19,74.37,380,118440.0,669,2688,47.0,2.0
1409585138,36,15.55,0.0,54417.0,96.45,74.37,380,119835.0,669,2688,8.0,0.0
1409585139,33,15.56,0.0,52384.0,96.03,74.37,380,119987.0,669,2688,8.0,17.0
1409585140,36,15.57,0.0,53279.0,96.19,74.37,378,122935.0,669,2688,20.0,0.0
1409585141,35,15.58,9.0,48656.0,95.6,74.37,381,121096.0,669,2688,41.0,0.0
1409585142,33,15.57,9.0,51640.0,96.22,71.94,379,123113.0,669,2688,19.0,0.0
1409585143,36,15.61,9.0,51536.0,96.36,71.94,383,119540.0,678,2688,23.0,2.0
1409585144,44,15.62,0.0,48883.0,97.24,71.94,383,119263.0,678,2688,14.0,10.0
1409585145,42,15.55,0.0,48220.0,95.95,71.94,379,132771.0,669,2688,8.0,54.0
1409585146,32,15.55,0.0,49614.0,96.06,71.94,379,125408.0,669,2688,12.0,0.0
1409585147,49,15.56,28.0,46427.0,95.45,69.38,379,127309.0,669,2640,18.0,8.0
1409585148,38,15.5,12.0,51153.0,95.56,69.38,379,132720.0,669,2592,27.0,14.0
1409585149,41,15.5,0.0,49254.0,96.36,69.38,378,112499.0,669,2592,17.0,13.0
1409585150,40,15.55,13.0,48614.0,95.7,69.38,381,120609.0,678,2592,35.0,0.0
1409585151,44,15.54,0.0,50731.0,95.86,69.38,381,126478.0,678,2592,6.0,0.0
1409585152,38,15.55,10.0,46297.0,95.81,67.59,381,124762.0,686,2592,40.0,2.0
1409585153,43,15.55,0.0,48816.0,96.25,67.59,381,125724.0,678,2592,11.0,4.0
1409585154,50,15.55,0.0,46534.0,96.19,67.59,377,119912.0,678,2592,14.0,13.0
1409585155,42,15.5,0.0,45154.0,95.56,67.59,377,125000.0,669,2592,7.0,0.0
1409585156,46,15.51,0.0,46304.0,95.59,67.59,376,119478.0,669,2592,31.0,0.0
1409585157,38,15.51,8.0,46477.0,95.69,64.58,373,118100.0,668,2592,26.0,54.0
1409585158,39,15.54,1.0,48912.0,95.93,64.58,374,125939.0,669,2592,12.0,0.0
1409585159,41,15.54,0.0,46930.0,95.77,64.58,374,128072.0,669,2592,14.0,6.0
1409585160,42,15.55,0.0,48295.0,96.02,64.58,373,133185.0,669,2592,14.0,0.0
1409585161,46,15.55,0.0,49447.0,96.11,64.58,373,130039.0,669,2592,18.0,0.0
1409585162,34,15.55,0.0,44771.0,95.3,61.97,373,122203.0,669,2592,15.0,0.0
1409585163,44,15.56,27.72,45076.24,95.47,61.97,373,128362.38,669,2496,8.91,7.92
1409585164,49,15.57,3.0,46350.0,95.11,61.97,373,132981.0,669,2496,7.0,13.0
1409585165,41,15.57,0.0,48503.0,95.18,61.97,372,136206.0,669,2496,19.0,0.0
1409585166,43,15.58,4.0,48332.0,95.47,61.97,370,137961.0,669,2448,5.0,0.0
1409585167,47,15.58,0.0,48535.0,95.14,60.37,370,145465.0,669,2448,6.0,0.0
1409585168,46,15.52,10.0,44345.0,94.75,60.37,366,152433.0,660,2448,70.0,2.0
1409585169,41,15.52,0.0,45262.0,94.36,60.37,366,131657.0,660,2448,8.0,71.0
1409585170,39,15.53,0.0,44152.0,93.73,60.37,362,132414.0,651,2448,8.0,0.0
1409585171,35,15.53,0.0,46595.0,93.78,60.37,362,126439.0,651,2448,27.0,0.0
1409585172,35,15.52,0.0,44367.0,93.23,58.74,358,131505.0,642,2448,10.0,0.0
1409585173,38,15.54,0.0,40975.0,93.62,58.74,358,127406.0,642,2448,7.0,0.0
1409585174,29,15.55,0.0,40615.0,93.03,58.74,358,126592.0,642,2448,11.0,0.0
1409585175,30,15.47,0.0,42819.0,91.04,58.74,352,137928.0,624,2448,11.0,6.0
1409585176,34,15.52,9.0,36419.0,91.26,58.74,357,132420.0,633,2448,16.0,0.0
1409585177,35,15.52,28.0,42311.0,92.08,56.76,357,136005.0,633,2448,16.0,8.0
1409585178,35,15.52,3.0,41201.0,91.63,56.76,357,132316.0,633,2448,8.0,2.0
1409585179,21,15.39,0.0,41059.0,90.3,56.76,349,154487.0,615,2448,7.0,0.0
1409585180,21,15.4,4.0,40119.0,86.6,56.76,349,126342.0,615,2448,13.0,17.0
1409585181,28,15.4,0.0,39131.0,87.4,56.76,345,127306.0,606,2448,22.0,0.0
1409585182,23,15.36,0.0,42058.0,87.28,54.06,341,138522.0,597,2448,12.0,52.0
1409585183,18,15.23,19.0,43395.0,85.01,54.06,333,147504.0,579,2448,55.0,27.0
1409585184,15,15.23,0.0,40547.0,76.15,54.06,329,115144.0,570,2448,7.0,0.0
1409585185,17,15.24,0.0,35026.0,75.02,54.06,329,114676.0,570,2448,7.0,17.0
1409585186,13,15.23,0.0,34841.0,76.27,54.06,329,121195.0,570,2448,12.0,0.0
1409585187,12,15.13,0.0,34014.0,71.64,51.09,323,137704.0,552,2448,15.0,0.0
1409585188,11,15.04,0.0,28248.0,63.34,51.09,319,122274.0,543,2448,8.0,0.0
1409585189,12,15.04,0.0,28617.0,60.84,51.09,319,99274.0,543,2448,14.0,0.0
1409585190,13,15.01,0.0,27985.0,59.33,51.09,317,114200.0,534,2448,20.0,6.0
1409585191,15,15.04,9.0,29516.0,62.77,51.09,319,111201.0,543,2448,18.0,0.0
1409585192,13,15.05,37.0,28819.0,63.65,47.96,324,114674.0,552,2544,32.0,8.0
1409585193,13,15.04,3.0,28259.0,59.74,47.96,322,110459.0,543,2544,8.0,0.0
1409585194,11,15.05,0.0,24892.0,56.24,47.96,322,87197.0,543,2544,8.0,52.0
1409585195,12,15.06,4.0,24067.0,56.4,47.96,322,89510.0,543,2544,15.0,13.0
1409585196,12,15.08,3.0,27925.0,56.26,47.96,325,87516.0,546,2544,16.0,0.0
1409585197,14,15.09,6.0,25259.0,59.07,45.24,327,85544.0,552,2544,11.0,0.0
1409585198,15,15.1,10.0,25751.0,57.47,45.24,327,96655.0,552,2544,18.0,2.0
1409585199,13,15.12,0.0,26041.0,58.31,45.24,327,93592.0,552,2544,503.0,0.0
1409585200,13,15.14,0.0,26473.0,59.25,45.24,323,93777.0,543,2544,425.0,16.0
1409585201,13,15.16,0.0,25491.0,58.79,45.24,323,94712.0,543,2544,459.0,0.0
1409585202,16,15.17,0.0,26763.0,63.12,42.58,321,102556.0,543,2544,26.0,0.0
1409585203,14,15.15,0.0,25080.0,59.97,42.58,319,97897.0,534,2544,7.0,2.0
